Chaperone	Client
YAL005C	YAL036C
YAL005C	YAR002W
YAL005C	YAR015W
YAL005C	YBL005W
YAL005C	YBL023C
YAL005C	YBL057C
YAL005C	YBL058W
YAL005C	YBL067C
YAL005C	YBR017C
YAL005C	YBR101C
YAL005C	YBR115C
YAL005C	YBR155W
YAL005C	YBR159W
YAL005C	YBR196C
YAL005C	YBR215W
YAL005C	YBR231C
YAL005C	YBR251W
YAL005C	YCL037C
YAL005C	YCL043C
YAL005C	YCR008W
YAL005C	YCR009C
YAL005C	YCR012W
YAL005C	YCR043C
YAL005C	YDL019C
YAL005C	YDL020C
YAL005C	YDL058W
YAL005C	YDL116W
YAL005C	YDL126C
YAL005C	YDL139C
YAL005C	YDL140C
YAL005C	YDR011W
YAL005C	YDR027C
YAL005C	YDR060W
YAL005C	YDR083W
YAL005C	YDR141C
YAL005C	YDR143C
YAL005C	YDR168W
YAL005C	YDR172W
YAL005C	YDR214W
YAL005C	YDR233C
YAL005C	YDR301W
YAL005C	YDR324C
YAL005C	YDR328C
YAL005C	YDR337W
YAL005C	YDR338C
YAL005C	YDR356W
YAL005C	YDR359C
YAL005C	YDR385W
YAL005C	YDR388W
YAL005C	YDR390C
YAL005C	YDR406W
YAL005C	YDR450W
YAL005C	YDR460W
YAL005C	YDR477W
YAL005C	YDR495C
YAL005C	YDR502C
YAL005C	YDR532C
YAL005C	YEL021W
YAL005C	YEL025C
YAL005C	YEL071W
YAL005C	YER012W
YAL005C	YER013W
YAL005C	YER059W
YAL005C	YER110C
YAL005C	YER132C
YAL005C	YER151C
YAL005C	YER161C
YAL005C	YER165W
YAL005C	YFL007W
YAL005C	YFL008W
YAL005C	YFL039C
YAL005C	YFL044C
YAL005C	YFR010W
YAL005C	YFR019W
YAL005C	YFR031C
YAL005C	YFR037C
YAL005C	YGL043W
YAL005C	YGL048C
YAL005C	YGL064C
YAL005C	YGL073W
YAL005C	YGL093W
YAL005C	YGL141W
YAL005C	YGL181W
YAL005C	YGL206C
YAL005C	YGL207W
YAL005C	YGL215W
YAL005C	YGR071C
YAL005C	YGR090W
YAL005C	YGR095C
YAL005C	YGR173W
YAL005C	YGR184C
YAL005C	YGR192C
YAL005C	YGR198W
YAL005C	YGR237C
YAL005C	YGR240C
YAL005C	YGR254W
YAL005C	YGR264C
