Gene	Protein	Chaperone_class	Ensembl
YAL005C	Ssa1	HSP70	P10591
YBL075C	Ssa3	HSP70	P09435
YBR072W	Hsp26	SMALL	P15992
YBR169C	Sse2	HSP70	P32590
YBR227C	Mcx1	AAA+	P38323
YDL143W	Cct4	CCT	P39078
YDL229W	Ssb1	HSP70	P11484
YDR171W	Hsp42	SMALL	Q12329
YDR188W	Cct6	CCT	P39079
YDR212W	Tcp1	CCT	P12612
YDR258C	Hsp78	AAA+	P33416
YDR320C	Swa2	HSP40	Q06677
YDR533C	Hsp31	SMALL	Q04432
YEL003W	Gim4	PFD	P40005
YEL030W	Ecm10	HSP70	P39987
YER048C	Caj1	HSP40	P39101
YER103W	Ssa4	HSP70	P22202
YFL014W	Hsp12	SMALL	P22943
YFL016C	Mdj1	HSP40	P35191
YFR041C	Erj5	HSP40	P43613
YGL018C	Jac1	HSP40	P53193
YGL128C	Cwc23	HSP40	P52868
YGR078C	Pac10	PFD	P48363
YGR285C	Zuo1	HSP40	P32527
YHR064C	Ssz1	HSP70	P38788
YIL142W	Cct2	CCT	P39076
YIR004W	Djp1	HSP40	P40564
YJL008C	Cct8	CCT	P47079
YJL014W	Cct3	CCT	P39077
YJL034W	Kar2	HSP70	P16474
YJL073W	Jem1	HSP40	P40358
YJL111W	Cct7	CCT	P42943
YJL162C	JJj2	HSP40	P46997
YJL179W	Pfd1	PFD	P46988
YJR045C	Ssc1	HSP70	P0CS90
YJR064W	Cct5	CCT	P40413
YJR097W	Jjj3	HSP40	P47138
YKL073W	Lhs1	HSP70	P36016
YLL024C	Ssa2	HSP70	P10592
YLL026W	Hsp104	AAA+	P31539
YLR008C	Pam18	HSP40	Q07914
YLR090W	Xdj1	HSP40	P39102
YLR200W	Gim1	PFD	P52553
YLR259C	Hsp60	HSP60	P19882
YLR369W	Ssq1	HSP70	Q05931
YML094W	Gim5	PFD	Q04493
YMR161W	Hlj1	HSP40	P48353
YMR186W	Hsc82	HSP90	P15108
YMR214W	Scj1	HSP40	P25303
YNL007C	Sis1	HSP40	P25294
YNL064C	Ydj1	HSP40	P25491
YNL077W	Apj1	HSP40	P53940
YNL153C	Gim3	PFD	P53900
YNL209W	Ssb2	HSP70	P40150
YNL227C	Jjj1	HSP40	P53863
YNL328C	Mdj2	HSP40	P42834
YOR254C	Sec63	HSP40	P14906
YPL106C	Sse1	HSP70	P32589
YPL240C	Hsp82	HSP90	P02829
YPL280W	Hsp32	SMALL	Q08992
YPR061C	Jid1	HSP40	Q12350
YMR322C	Sno4	SMALL	Q04902
YOR391C	Hsp33	SMALL	Q08914
